date,product_category,sales,quantity,price,customer_segment,region
2024-02-12,Clothing,4504.29,71,40.84,Standard,West
2024-02-03,Electronics,21324.07,90,596.71,Standard,South
2024-01-26,Electronics,12946.42,49,561.35,Standard,East
2024-02-17,Electronics,13546.86,58,415.2,Standard,West
2024-01-25,Electronics,8931.44,53,39.84,Standard,North
2024-01-27,Electronics,20027.5,36,193.11,Standard,West
2024-02-17,Electronics,12494.85,60,304.69,Standard,West
2024-01-30,Clothing,7822.84,40,292.16,Standard,East
2024-02-12,Clothing,15054.55,31,615.67,Premium,North
2024-02-16,Food,3924.89,99,39.8,Standard,West
2024-01-25,Electronics,22474.31,56,497.8,Premium,North
2024-01-22,Electronics,13647.03,84,40.66,Standard,South
2024-01-28,Electronics,18397.49,33,620.34,Standard,East
2024-01-21,Electronics,21567.65,56,627.74,Standard,East
2024-02-09,Electronics,21752.48,70,627.63,Standard,North
2024-01-29,Clothing,19117.06,29,630.0,Standard,South
2024-02-13,Food,3714.18,87,180.88,Standard,East
2024-01-28,Food,3060.35,89,564.7,Standard,East
2024-01-31,Food,3270.09,64,85.75,Premium,North
2024-02-13,Electronics,19691.11,80,567.01,Standard,North
2024-01-15,Food,5214.07,55,39.78,Standard,North
2024-01-20,Electronics,10782.26,49,625.08,Standard,East
2024-02-10,Electronics,22700.1,52,626.32,Standard,South
2024-02-06,Clothing,8257.53,103,197.44,Standard,West
2024-02-05,Electronics,6399.97,66,578.74,Standard,West
2024-02-01,Electronics,6289.74,105,40.44,Standard,East
2024-02-12,Clothing,7234.05,79,39.78,Standard,South
2024-01-22,Food,6472.11,44,71.83,Premium,East
2024-02-05,Electronics,4512.62,28,41.56,Standard,North
2024-01-27,Clothing,3540.5,42,39.78,Standard,North
2024-02-13,Electronics,22060.79,27,629.4,Standard,North
2024-02-05,Electronics,10623.94,68,223.11,Premium,West
2024-02-15,Electronics,15985.98,74,42.04,Standard,North
2024-02-10,Electronics,3297.56,46,39.8,Premium,North
2024-01-16,Electronics,18763.17,36,527.8,Premium,North
2024-01-15,Clothing,21271.34,52,629.98,Premium,West
2024-02-07,Food,8470.69,85,43.39,Standard,South
2024-01-15,Electronics,20562.31,45,629.78,Premium,East
2024-01-19,Clothing,12576.24,100,73.43,Standard,West
2024-01-21,Clothing,5259.62,60,65.64,Standard,North
2024-01-17,Electronics,8073.7,36,548.97,Premium,North
2024-01-21,Clothing,5863.55,90,39.78,Standard,South
